Date,Kwh,year,month,day,city
2008-03-21,105296536.923305,2008,03,21,SIDIROKASTRO
2008-03-21,9652022.22945386,2008,03,21,KIPI
2008-03-21,0.0,2008,03,21,NEA MESIMVRIA
2008-03-22,19110806.6757237,2008,03,22,AGIA TRIADA
2008-03-22,98630846.0806348,2008,03,22,SIDIROKASTRO
2008-03-22,9602046.35059943,2008,03,22,KIPI
2008-03-22,0.0,2008,03,22,NEA MESIMVRIA
2008-03-23,36527.8763966265,2008,03,23,AGIA TRIADA
2008-03-23,90062198.0802414,2008,03,23,SIDIROKASTRO
2008-03-23,7931552.05723832,2008,03,23,KIPI
2008-03-23,0.0,2008,03,23,NEA MESIMVRIA
2008-03-24,26688943.7953206,2008,03,24,AGIA TRIADA
2008-03-24,97778395.0606202,2008,03,24,SIDIROKASTRO
2008-03-24,9531439.89104074,2008,03,24,KIPI
2008-03-24,0.0,2008,03,24,NEA MESIMVRIA
2008-03-25,13651940.5336581,2008,03,25,AGIA TRIADA
2008-03-25,88146611.2550701,2008,03,25,SIDIROKASTRO
2008-03-25,8321062.44284156,2008,03,25,KIPI
2008-03-25,0.0,2008,03,25,NEA MESIMVRIA
2008-03-26,27196559.6188488,2008,03,26,AGIA TRIADA
2008-03-26,99933321.0126172,2008,03,26,SIDIROKASTRO
2008-03-26,9611420.85008491,2008,03,26,KIPI
2008-03-26,0.0,2008,03,26,NEA MESIMVRIA
2008-03-27,37150325.4727449,2008,03,27,AGIA TRIADA
2008-03-27,99658357.4990026,2008,03,27,SIDIROKASTRO
2008-03-27,9548052.47403181,2008,03,27,KIPI
2008-03-27,0.0,2008,03,27,NEA MESIMVRIA
2008-03-28,31881511.0905526,2008,03,28,AGIA TRIADA
2008-03-28,99103155.4511603,2008,03,28,SIDIROKASTRO
2008-03-28,10387911.4249241,2008,03,28,KIPI
2008-03-28,0.0,2008,03,28,NEA MESIMVRIA
2008-03-29,12762471.3514138,2008,03,29,AGIA TRIADA
2008-03-29,87210653.8095951,2008,03,29,SIDIROKASTRO
2008-03-29,9498277.37304928,2008,03,29,KIPI
2008-03-29,0.0,2008,03,29,NEA MESIMVRIA
2008-03-30,3435228.84250863,2008,03,30,AGIA TRIADA
2008-03-30,93235733.8764213,2008,03,30,SIDIROKASTRO
2008-03-30,8375300.25570315,2008,03,30,KIPI
2008-03-30,0.0,2008,03,30,NEA MESIMVRIA
2008-03-31,24764237.6140977,2008,03,31,AGIA TRIADA
2008-03-31,99582890.5924596,2008,03,31,SIDIROKASTRO
2008-03-31,9489473.19745003,2008,03,31,KIPI
2008-03-31,0.0,2008,03,31,NEA MESIMVRIA
2008-04-01,18094132.0808205,2008,04,01,AGIA TRIADA
2008-04-01,102081973.001585,2008,04,01,SIDIROKASTRO
2008-04-01,5600176.12626948,2008,04,01,KIPI
2008-04-01,0.0,2008,04,01,NEA MESIMVRIA
2008-04-02,22848833.0305784,2008,04,02,AGIA TRIADA
2008-04-02,105387024.437795,2008,04,02,SIDIROKASTRO
2008-04-02,5619168.89089338,2008,04,02,KIPI
2008-04-02,0.0,2008,04,02,NEA MESIMVRIA
2008-04-03,32270086.1271453,2008,04,03,AGIA TRIADA
2008-04-03,105417228.439834,2008,04,03,SIDIROKASTRO
2008-04-03,5612581.72677268,2008,04,03,KIPI
2008-04-03,0.0,2008,04,03,NEA MESIMVRIA
2008-04-04,29401321.1157828,2008,04,04,AGIA TRIADA
2008-04-04,105626011.27186,2008,04,04,SIDIROKASTRO
2008-04-04,5603418.32063228,2008,04,04,KIPI
2008-04-04,0.0,2008,04,04,NEA MESIMVRIA
2008-04-05,19196694.7953567,2008,04,05,AGIA TRIADA
2008-04-05,99778923.9178137,2008,04,05,SIDIROKASTRO
2008-04-05,8984024.49246601,2008,04,05,KIPI
2008-04-05,0.0,2008,04,05,NEA MESIMVRIA
2008-04-06,14767717.2611048,2008,04,06,AGIA TRIADA
2008-04-06,92196487.3282244,2008,04,06,SIDIROKASTRO
2008-04-06,6586062.39796584,2008,04,06,KIPI
2008-04-06,0.0,2008,04,06,NEA MESIMVRIA
2008-04-07,18504503.2788526,2008,04,07,AGIA TRIADA
2008-04-07,99026831.0099298,2008,04,07,SIDIROKASTRO
2008-04-07,9137050.35674783,2008,04,07,KIPI
2008-04-07,0.0,2008,04,07,NEA MESIMVRIA
2008-04-08,18710152.1958875,2008,04,08,AGIA TRIADA
2008-04-08,99972456.8003192,2008,04,08,SIDIROKASTRO
2008-04-08,9392503.46399865,2008,04,08,KIPI
2008-04-08,0.0,2008,04,08,NEA MESIMVRIA
2008-04-09,28102502.2906557,2008,04,09,AGIA TRIADA
2008-04-09,89089342.6682847,2008,04,09,SIDIROKASTRO
2008-04-09,8920048.68508274,2008,04,09,KIPI
2008-04-09,0.0,2008,04,09,NEA MESIMVRIA
2008-04-10,29163193.7508708,2008,04,10,AGIA TRIADA
2008-04-10,89096435.1596959,2008,04,10,SIDIROKASTRO
2008-04-10,8973215.87846801,2008,04,10,KIPI
2008-04-10,0.0,2008,04,10,NEA MESIMVRIA
2008-04-11,18623182.5821851,2008,04,11,AGIA TRIADA
2008-04-11,88918987.9084381,2008,04,11,SIDIROKASTRO
2008-04-11,8375832.72126009,2008,04,11,KIPI
2008-04-11,0.0,2008,04,11,NEA MESIMVRIA
2008-04-12,15073932.6435198,2008,04,12,AGIA TRIADA
2008-04-12,81436819.4504289,2008,04,12,SIDIROKASTRO
2008-04-12,7783829.56998151,2008,04,12,KIPI
2008-04-12,0.0,2008,04,12,NEA MESIMVRIA
2008-04-13,1278836.50299917,2008,04,13,AGIA TRIADA
2008-04-13,60851746.2087462,2008,04,13,SIDIROKASTRO
2008-04-13,4522135.22275327,2008,04,13,KIPI
2008-04-13,0.0,2008,04,13,NEA MESIMVRIA
2008-04-14,22515586.6218939,2008,04,14,AGIA TRIADA
2008-04-14,83006642.8570716,2008,04,14,SIDIROKASTRO
2008-04-14,4498841.12243926,2008,04,14,KIPI
2008-04-14,0.0,2008,04,14,NEA MESIMVRIA
2008-04-15,32997296.7013602,2008,04,15,AGIA TRIADA
2008-04-15,79534018.9469601,2008,04,15,SIDIROKASTRO
2008-04-15,5583396.88563988,2008,04,15,KIPI
2008-04-15,0.0,2008,04,15,NEA MESIMVRIA
2008-04-16,46536840.0857653,2008,04,16,AGIA TRIADA
2008-04-16,54987516.0402952,2008,04,16,SIDIROKASTRO
2008-04-16,6713423.35994153,2008,04,16,KIPI
2008-04-16,0.0,2008,04,16,NEA MESIMVRIA
2008-04-17,47375534.6510822,2008,04,17,AGIA TRIADA
2008-04-17,54629608.3567169,2008,04,17,SIDIROKASTRO
2008-04-17,6709626.46382848,2008,04,17,KIPI
2008-04-17,0.0,2008,04,17,NEA MESIMVRIA
2008-04-18,54444509.1866371,2008,04,18,AGIA TRIADA
2008-04-18,51426481.9250227,2008,04,18,SIDIROKASTRO
2008-04-18,7107779.68591838,2008,04,18,KIPI
2008-04-18,0.0,2008,04,18,NEA MESIMVRIA
2008-04-19,48591514.2883024,2008,04,19,AGIA TRIADA
2008-04-19,37180897.7045792,2008,04,19,SIDIROKASTRO
2008-04-19,6709201.24132078,2008,04,19,KIPI
2008-04-19,0.0,2008,04,19,NEA MESIMVRIA
2008-04-20,48083651.5966157,2008,04,20,AGIA TRIADA
2008-04-20,17541741.2667896,2008,04,20,SIDIROKASTRO
2008-04-20,5598269.52775865,2008,04,20,KIPI
2008-04-20,0.0,2008,04,20,NEA MESIMVRIA
2008-04-21,73238308.3720964,2008,04,21,AGIA TRIADA
2008-04-21,35262486.3745373,2008,04,21,SIDIROKASTRO
2008-04-21,6733582.73031509,2008,04,21,KIPI
2008-04-21,0.0,2008,04,21,NEA MESIMVRIA
2008-04-22,67906771.573671,2008,04,22,AGIA TRIADA
2008-04-22,27024977.2232196,2008,04,22,SIDIROKASTRO
2008-04-22,6713196.66628574,2008,04,22,KIPI
2008-04-22,0.0,2008,04,22,NEA MESIMVRIA
2008-04-23,71458711.7471091,2008,04,23,AGIA TRIADA
2008-04-23,19743912.7499612,2008,04,23,SIDIROKASTRO
2008-04-23,6020222.86272364,2008,04,23,KIPI
2008-04-23,0.0,2008,04,23,NEA MESIMVRIA
2008-04-24,62039030.3161919,2008,04,24,AGIA TRIADA
2008-04-24,18898020.7868985,2008,04,24,SIDIROKASTRO
2008-04-24,7274659.7380349,2008,04,24,KIPI
2008-04-24,0.0,2008,04,24,NEA MESIMVRIA
2008-04-25,35016472.9343957,2008,04,25,AGIA TRIADA
2008-04-25,15154625.3407807,2008,04,25,SIDIROKASTRO
2008-04-25,2808192.47654159,2008,04,25,KIPI
